Source,Target,Type,Weight,target_entity_type,action_class,Label,all_actions,sample_claim_ids,sample_doc_ids
Palm Beach Police Department,FBI,Undirected,4,law enforcement,investigative,turned over evidence to,"[""turned over evidence to"",""forwarded investigation information to"",""requested"",""requested assistance from""]","[""HOUSE_OVERSIGHT_011411:6"",""HOUSE_OVERSIGHT_013426:7"",""HOUSE_OVERSIGHT_014072:2"",""HOUSE_OVERSIGHT_021687:0""]","[""HOUSE_OVERSIGHT_011411"",""HOUSE_OVERSIGHT_013426"",""HOUSE_OVERSIGHT_014072"",""HOUSE_OVERSIGHT_021687""]"
Palm Beach Police Department,Haley Robson,Undirected,4,trafficker_accomplice,investigative,cooperated with,"[""cooperated with"",""analyzed telephone records and coordinated with"",""interviewed""]","[""HOUSE_OVERSIGHT_029908:5"",""TEXT-001-HOUSE_OVERSIGHT_029905:3"",""HOUSE_OVERSIGHT_018872_part2:12"",""HOUSE_OVERSIGHT_021773:6""]","[""HOUSE_OVERSIGHT_029908"",""TEXT-001-HOUSE_OVERSIGHT_029905"",""HOUSE_OVERSIGHT_018872_part2"",""HOUSE_OVERSIGHT_021773""]"
Palm Beach Police Department,Detective Joe Recarey,Undirected,3,law enforcement,legal_procedural,filed incident report,"[""filed incident report"",""left position at"",""left department""]","[""HOUSE_OVERSIGHT_010503:0"",""HOUSE_OVERSIGHT_022118_part2:21"",""HOUSE_OVERSIGHT_022181:1""]","[""HOUSE_OVERSIGHT_010503"",""HOUSE_OVERSIGHT_022118_part2"",""HOUSE_OVERSIGHT_022181""]"
Palm Beach Police Department,Barry E. Krischer,Undirected,2,government_official,other,submitted probable cause report to,"[""submitted probable cause report to"",""expressed dissatisfaction with""]","[""HOUSE_OVERSIGHT_010511:2"",""HOUSE_OVERSIGHT_023005:0""]","[""HOUSE_OVERSIGHT_010511"",""HOUSE_OVERSIGHT_023005""]"
Palm Beach Police Department,Bradley James Edwards,Undirected,1,lawyer,other,relied upon reports from,["relied upon reports from"],["HOUSE_OVERSIGHT_010813:1"],["HOUSE_OVERSIGHT_010813"]
Palm Beach Police Department,Federal Bureau of Investigation,Undirected,1,law_enforcement,investigative,requested federal investigation by,["requested federal investigation by"],["HOUSE_OVERSIGHT_014037_part1:3"],["HOUSE_OVERSIGHT_014037_part1"]
Palm Beach Police Department,Ghislaine Maxwell,Undirected,1,defendant,other,testified to,["testified to"],["HOUSE_OVERSIGHT_019377:0"],["HOUSE_OVERSIGHT_019377"]
Palm Beach Police Department,Jeffrey Epstein case,Undirected,1,,investigative,identified potential victims in,["identified potential victims in"],["TEXT-001-HOUSE_OVERSIGHT_022952:11"],["TEXT-001-HOUSE_OVERSIGHT_022952"]
U.S. Attorney's Office for the Southern District of Florida,Jeffrey Epstein,Undirected,48,victim,legal_procedural,subject to deadline imposed by,"[""subject to deadline imposed by"",""entered into non-prosecution agreement with"",""entered into non_prosecution_agreement with"",""executed non-prosecution agreement with"",""entered into Deferred Prosecution Agreement with"",""was the target of attempted federal prosecution"",""negotiated agreement with"",""agreed to provide"",""reached plea agreement with"",""signed agreement with"",""negotiated non-prosecution agreement with"",""entered into plea negotiations with"",""agreed to nonprosecution agreement with"",""was sued by"",""entered into plea agreement with"",""entered plea agreement with"",""signed non-prosecution agreement with"",""signed non-prosecution agreement on"",""reached plea deal with"",""signed non‑prosecution agreement"",""secured non-prosecution agreement"",""attempted to prosecute"",""alleged insufficient evidence against"",""requested"",""agreed not to prosecute"",""signed nonprosecution agreement with"",""initiated plea negotiations with legal counsel for"",""executed nonprosecution agreement with"",""reached nonprosecution agreement with"",""contacted counsel for"",""negotiated resolution with"",""began negotiating with counsel for"",""entered into nonprosecution agreement with"",""concluded non-prosecution agreement with"",""contacted counsel for and negotiated with"",""sued"",""prepared indictment against"",""recused itself from case involving"",""negotiated nonprosecution agreement with"",""recused itself from""]","[""HOUSE_OVERSIGHT_010732:5"",""HOUSE_OVERSIGHT_011908_part2:1"",""HOUSE_OVERSIGHT_012132:0"",""HOUSE_OVERSIGHT_012135_part1:16"",""HOUSE_OVERSIGHT_012178:0""]","[""HOUSE_OVERSIGHT_010732"",""HOUSE_OVERSIGHT_011908_part2"",""HOUSE_OVERSIGHT_012132"",""HOUSE_OVERSIGHT_012135_part1"",""HOUSE_OVERSIGHT_012178""]"
U.S. Attorney's Office for the Southern District of Florida,Bradley James Edwards,Undirected,5,lawyer,legal_procedural,requested information from,"[""requested information from"",""contends federal prosecution caved to defense pressure"",""received letter"",""declined to provide information to"",""designated""]","[""HOUSE_OVERSIGHT_010580:6"",""HOUSE_OVERSIGHT_012704:24"",""TEXT-001-HOUSE_OVERSIGHT_013304_part2:2"",""HOUSE_OVERSIGHT_010580:7"",""HOUSE_OVERSIGHT_013304_part2:23""]","[""HOUSE_OVERSIGHT_010580"",""HOUSE_OVERSIGHT_012704"",""TEXT-001-HOUSE_OVERSIGHT_013304_part2"",""HOUSE_OVERSIGHT_013304_part2""]"
U.S. Attorney's Office for the Southern District of Florida,Jeffrey Epstein case,Undirected,4,,legal_procedural,recused itself from,"[""recused itself from"",""recused"",""recused from""]","[""TEXT-001-HOUSE_OVERSIGHT_031392:6"",""TEXT-001-HOUSE_OVERSIGHT_031399:2"",""TEXT-001-HOUSE_OVERSIGHT_031407:1"",""TEXT-001-HOUSE_OVERSIGHT_031428:1""]","[""TEXT-001-HOUSE_OVERSIGHT_031392"",""TEXT-001-HOUSE_OVERSIGHT_031399"",""TEXT-001-HOUSE_OVERSIGHT_031407"",""TEXT-001-HOUSE_OVERSIGHT_031428""]"
U.S. Attorney's Office for the Southern District of Florida,Jeffrey Epstein victims' rights case,Undirected,4,,legal_procedural,recused itself from,"[""recused itself from"",""recused themselves from case involving""]","[""HOUSE_OVERSIGHT_031170:0"",""HOUSE_OVERSIGHT_031384:3"",""HOUSE_OVERSIGHT_031392:5"",""HOUSE_OVERSIGHT_031407:2""]","[""HOUSE_OVERSIGHT_031170"",""HOUSE_OVERSIGHT_031384"",""HOUSE_OVERSIGHT_031392"",""HOUSE_OVERSIGHT_031407""]"
U.S. Attorney's Office for the Southern District of Florida,FBI,Undirected,3,law enforcement,investigative,presented case to,"[""presented case to"",""investigated and presented case to""]","[""HOUSE_OVERSIGHT_014073:3"",""HOUSE_OVERSIGHT_017603_part1:4"",""HOUSE_OVERSIGHT_017627:4""]","[""HOUSE_OVERSIGHT_014073"",""HOUSE_OVERSIGHT_017603_part1"",""HOUSE_OVERSIGHT_017627""]"
U.S. Attorney's Office for the Southern District of Florida,Jay P. Lefkowitz,Undirected,3,lawyer,other,disputed legal charges with,"[""disputed legal charges with"",""declared non-applicability of state charges to"",""rejected victim compensation proposal from""]","[""HOUSE_OVERSIGHT_012197_part1:10"",""HOUSE_OVERSIGHT_012197_part1:11"",""HOUSE_OVERSIGHT_012197_part1:13""]",["HOUSE_OVERSIGHT_012197_part1"]
U.S. Attorney's Office for the Southern District of Florida,Brad Edwards,Undirected,2,lawyer,legal_procedural,filed petition alleging Crime Victims Rights Act violation by,"[""filed petition alleging Crime Victims Rights Act violation by"",""argued""]","[""HOUSE_OVERSIGHT_011908_part2:7"",""HOUSE_OVERSIGHT_021716:2""]","[""HOUSE_OVERSIGHT_011908_part2"",""HOUSE_OVERSIGHT_021716""]"
U.S. Attorney's Office for the Southern District of Florida,Bradley Edwards,Undirected,2,legal_counsel,other,was listed as victim of crimes by,"[""was listed as victim of crimes by"",""designated""]","[""HOUSE_OVERSIGHT_013378:2"",""HOUSE_OVERSIGHT_013489:20""]","[""HOUSE_OVERSIGHT_013378"",""HOUSE_OVERSIGHT_013489""]"
U.S. Attorney's Office for the Southern District of Florida,Jeffrey Epstein victims,Undirected,2,,other,sent false notification letter to,["sent false notification letter to"],"[""HOUSE_OVERSIGHT_013405:2"",""HOUSE_OVERSIGHT_013405:3""]",["HOUSE_OVERSIGHT_013405"]
U.S. Attorney's Office for the Southern District of Florida,Alan M. Dershowitz,Undirected,1,legal counsel,other,negotiated settlement with,["negotiated settlement with"],["HOUSE_OVERSIGHT_028921:7"],["HOUSE_OVERSIGHT_028921"]
U.S. Attorney's Office for the Southern District of Florida,Federal Bureau of Investigation,Undirected,1,law_enforcement,investigative,completed investigation and presented case to,["completed investigation and presented case to"],["HOUSE_OVERSIGHT_014037_part1:4"],["HOUSE_OVERSIGHT_014037_part1"]
