source,target,label,weight,sample_doc_ids,sample_claim_ids,action_class
Palm Beach Police Department,FBI,turned over evidence to,4.0,"[""HOUSE_OVERSIGHT_011411"",""HOUSE_OVERSIGHT_013426"",""HOUSE_OVERSIGHT_014072"",""HOUSE_OVERSIGHT_021687""]","[""HOUSE_OVERSIGHT_011411:6"",""HOUSE_OVERSIGHT_013426:7"",""HOUSE_OVERSIGHT_014072:2"",""HOUSE_OVERSIGHT_021687:0""]",investigative
Palm Beach Police Department,Haley Robson,cooperated with,4.0,"[""HOUSE_OVERSIGHT_029908"",""TEXT-001-HOUSE_OVERSIGHT_029905"",""HOUSE_OVERSIGHT_018872_part2"",""HOUSE_OVERSIGHT_021773""]","[""HOUSE_OVERSIGHT_029908:5"",""TEXT-001-HOUSE_OVERSIGHT_029905:3"",""HOUSE_OVERSIGHT_018872_part2:12"",""HOUSE_OVERSIGHT_021773:6""]",investigative
Palm Beach Police Department,Detective Joe Recarey,filed incident report,3.0,"[""HOUSE_OVERSIGHT_010503"",""HOUSE_OVERSIGHT_022118_part2"",""HOUSE_OVERSIGHT_022181""]","[""HOUSE_OVERSIGHT_010503:0"",""HOUSE_OVERSIGHT_022118_part2:21"",""HOUSE_OVERSIGHT_022181:1""]",legal_procedural
Palm Beach Police Department,Barry E. Krischer,submitted probable cause report to,2.0,"[""HOUSE_OVERSIGHT_010511"",""HOUSE_OVERSIGHT_023005""]","[""HOUSE_OVERSIGHT_010511:2"",""HOUSE_OVERSIGHT_023005:0""]",other
Palm Beach Police Department,Bradley James Edwards,relied upon reports from,1.0,"[""HOUSE_OVERSIGHT_010813""]","[""HOUSE_OVERSIGHT_010813:1""]",other
Palm Beach Police Department,Federal Bureau of Investigation,requested federal investigation by,1.0,"[""HOUSE_OVERSIGHT_014037_part1""]","[""HOUSE_OVERSIGHT_014037_part1:3""]",investigative
Palm Beach Police Department,Ghislaine Maxwell,testified to,1.0,"[""HOUSE_OVERSIGHT_019377""]","[""HOUSE_OVERSIGHT_019377:0""]",other
Palm Beach Police Department,Jeffrey Epstein case,identified potential victims in,1.0,"[""TEXT-001-HOUSE_OVERSIGHT_022952""]","[""TEXT-001-HOUSE_OVERSIGHT_022952:11""]",investigative
U.S. Attorney's Office for the Southern District of Florida,Jeffrey Epstein,subject to deadline imposed by,48.0,"[""HOUSE_OVERSIGHT_010732"",""HOUSE_OVERSIGHT_011908_part2"",""HOUSE_OVERSIGHT_012132"",""HOUSE_OVERSIGHT_012135_part1"",""HOUSE_OVERSIGHT_012178""]","[""HOUSE_OVERSIGHT_010732:5"",""HOUSE_OVERSIGHT_011908_part2:1"",""HOUSE_OVERSIGHT_012132:0"",""HOUSE_OVERSIGHT_012135_part1:16"",""HOUSE_OVERSIGHT_012178:0""]",legal_procedural
U.S. Attorney's Office for the Southern District of Florida,Bradley James Edwards,requested information from,5.0,"[""HOUSE_OVERSIGHT_010580"",""HOUSE_OVERSIGHT_012704"",""TEXT-001-HOUSE_OVERSIGHT_013304_part2"",""HOUSE_OVERSIGHT_013304_part2""]","[""HOUSE_OVERSIGHT_010580:6"",""HOUSE_OVERSIGHT_012704:24"",""TEXT-001-HOUSE_OVERSIGHT_013304_part2:2"",""HOUSE_OVERSIGHT_010580:7"",""HOUSE_OVERSIGHT_013304_part2:23""]",legal_procedural
U.S. Attorney's Office for the Southern District of Florida,Jeffrey Epstein case,recused itself from,4.0,"[""TEXT-001-HOUSE_OVERSIGHT_031392"",""TEXT-001-HOUSE_OVERSIGHT_031399"",""TEXT-001-HOUSE_OVERSIGHT_031407"",""TEXT-001-HOUSE_OVERSIGHT_031428""]","[""TEXT-001-HOUSE_OVERSIGHT_031392:6"",""TEXT-001-HOUSE_OVERSIGHT_031399:2"",""TEXT-001-HOUSE_OVERSIGHT_031407:1"",""TEXT-001-HOUSE_OVERSIGHT_031428:1""]",legal_procedural
U.S. Attorney's Office for the Southern District of Florida,Jeffrey Epstein victims' rights case,recused itself from,4.0,"[""HOUSE_OVERSIGHT_031170"",""HOUSE_OVERSIGHT_031384"",""HOUSE_OVERSIGHT_031392"",""HOUSE_OVERSIGHT_031407""]","[""HOUSE_OVERSIGHT_031170:0"",""HOUSE_OVERSIGHT_031384:3"",""HOUSE_OVERSIGHT_031392:5"",""HOUSE_OVERSIGHT_031407:2""]",legal_procedural
U.S. Attorney's Office for the Southern District of Florida,FBI,presented case to,3.0,"[""HOUSE_OVERSIGHT_014073"",""HOUSE_OVERSIGHT_017603_part1"",""HOUSE_OVERSIGHT_017627""]","[""HOUSE_OVERSIGHT_014073:3"",""HOUSE_OVERSIGHT_017603_part1:4"",""HOUSE_OVERSIGHT_017627:4""]",investigative
U.S. Attorney's Office for the Southern District of Florida,Jay P. Lefkowitz,disputed legal charges with,3.0,"[""HOUSE_OVERSIGHT_012197_part1""]","[""HOUSE_OVERSIGHT_012197_part1:10"",""HOUSE_OVERSIGHT_012197_part1:11"",""HOUSE_OVERSIGHT_012197_part1:13""]",other
U.S. Attorney's Office for the Southern District of Florida,Brad Edwards,filed petition alleging Crime Victims Rights Act violation by,2.0,"[""HOUSE_OVERSIGHT_011908_part2"",""HOUSE_OVERSIGHT_021716""]","[""HOUSE_OVERSIGHT_011908_part2:7"",""HOUSE_OVERSIGHT_021716:2""]",legal_procedural
U.S. Attorney's Office for the Southern District of Florida,Bradley Edwards,was listed as victim of crimes by,2.0,"[""HOUSE_OVERSIGHT_013378"",""HOUSE_OVERSIGHT_013489""]","[""HOUSE_OVERSIGHT_013378:2"",""HOUSE_OVERSIGHT_013489:20""]",other
U.S. Attorney's Office for the Southern District of Florida,Jeffrey Epstein victims,sent false notification letter to,2.0,"[""HOUSE_OVERSIGHT_013405""]","[""HOUSE_OVERSIGHT_013405:2"",""HOUSE_OVERSIGHT_013405:3""]",other
U.S. Attorney's Office for the Southern District of Florida,Alan M. Dershowitz,negotiated settlement with,1.0,"[""HOUSE_OVERSIGHT_028921""]","[""HOUSE_OVERSIGHT_028921:7""]",other
U.S. Attorney's Office for the Southern District of Florida,Federal Bureau of Investigation,completed investigation and presented case to,1.0,"[""HOUSE_OVERSIGHT_014037_part1""]","[""HOUSE_OVERSIGHT_014037_part1:4""]",investigative
